[2026-06-22T18:09:16.216Z] INFO  [SkillInstaller] Wrote SKILL.md (version 0.99.3) to /home/menes/Projects/VideoTuna/.claude/skills/jolli-recall/SKILL.md
[2026-06-22T18:09:16.220Z] INFO  [SkillInstaller] Wrote SKILL.md (version 0.99.3) to /home/menes/Projects/VideoTuna/.claude/skills/jolli-search/SKILL.md
[2026-06-22T18:09:16.220Z] INFO  [SkillInstaller] Wrote SKILL.md (version 0.99.3) to /home/menes/Projects/VideoTuna/.agents/skills/jolli-recall/SKILL.md
[2026-06-22T18:09:16.221Z] INFO  [SkillInstaller] Wrote SKILL.md (version 0.99.3) to /home/menes/Projects/VideoTuna/.agents/skills/jolli-search/SKILL.md
[2026-06-22T18:09:16.495Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:09:16.495Z] INFO  [plans] detectPlans found 0 plans (0 in registry)
[2026-06-22T18:09:16.495Z] INFO  [notes] detectNotes found 0 notes (0 in registry)
[2026-06-22T18:09:16.495Z] INFO  [references] detectReferences(*) found 0 (0 in registry)
[2026-06-22T18:09:16.505Z] INFO  [GitExclude] Updated /home/menes/Projects/VideoTuna/.git/info/exclude with 5 Jolli skill exclude paths
[2026-06-22T18:09:16.515Z] INFO  [Installer] Status: enabled=false, claude=false, git=false, geminiHook=false, worktreeHooks=false, sessions=274, summaries=0, codex=true/undefined, gemini=true/undefined, enabledWorktrees=0, opencode=true/undefined, cursor=true/undefined, copilot=false/undefined, copilotChat=true
[2026-06-22T18:09:16.522Z] INFO  [McpRegistration] Registered MCP server in /home/menes/Projects/VideoTuna/.mcp.json
[2026-06-22T18:09:16.523Z] INFO  [GitHookInstaller] Git post-commit hook installed
[2026-06-22T18:09:16.747Z] INFO  [GitHookInstaller] Git post-rewrite hook installed
[2026-06-22T18:09:16.759Z] INFO  [Installer] Status: enabled=false, claude=false, git=false, geminiHook=false, worktreeHooks=false, sessions=274, summaries=0, codex=true/undefined, gemini=true/undefined, enabledWorktrees=0, opencode=true/undefined, cursor=true/undefined, copilot=false/undefined, copilotChat=true
[2026-06-22T18:09:16.759Z] INFO  [GitHookInstaller] Git prepare-commit-msg hook installed
[2026-06-22T18:09:16.760Z] INFO  [GitHookInstaller] Git post-merge hook installed
[2026-06-22T18:09:16.760Z] INFO  [SessionTracker] Config saved to /home/menes/.jolli/jollimemory
[2026-06-22T18:09:16.760Z] INFO  [Installer] Codex CLI detected — enabled Codex session discovery
[2026-06-22T18:09:16.760Z] INFO  [GeminiHookInstaller] Gemini AfterAgent hook installed
[2026-06-22T18:09:16.760Z] INFO  [SessionTracker] Config saved to /home/menes/.jolli/jollimemory
[2026-06-22T18:09:16.760Z] INFO  [Installer] Gemini CLI detected — enabled Gemini session tracking
[2026-06-22T18:09:16.761Z] INFO  [SessionTracker] Config saved to /home/menes/.jolli/jollimemory
[2026-06-22T18:09:16.761Z] INFO  [Installer] OpenCode detected — enabled OpenCode session discovery
[2026-06-22T18:09:16.761Z] INFO  [SessionTracker] Config saved to /home/menes/.jolli/jollimemory
[2026-06-22T18:09:16.761Z] INFO  [Installer] Cursor detected — enabled Cursor Composer session discovery
[2026-06-22T18:09:16.761Z] INFO  [SessionTracker] Config saved to /home/menes/.jolli/jollimemory
[2026-06-22T18:09:16.761Z] INFO  [Installer] GitHub Copilot detected (CLI=false, Chat=true) — enabled session discovery
[2026-06-22T18:09:16.761Z] INFO  [Installer] Skipping v5 migration on vscode-extension source — Extension.ts owns it with UI
[2026-06-22T18:09:16.761Z] INFO  [Installer] Installation complete
[2026-06-22T18:09:16.761Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:09:16.769Z] INFO  [initialLoad] All panels loaded — updating status bar
[2026-06-22T18:09:16.769Z] INFO  [Installer] Checking Jolli Memory status
[2026-06-22T18:09:16.769Z] WARN  [SummaryStore] loadIndex: index.json unreadable from Wr (fresh repo or backend read failed)
[2026-06-22T18:09:17.193Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=274, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true
[2026-06-22T18:09:17.193Z] INFO  [Installer] Checking Jolli Memory status
